Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
B000490,0.013545617461204529,0.006790158338844776,0.013146176002919674,0.02944066934287548,0.08090301603078842,0.04458090662956238,0.009421413764357567,0.006027508992701769,0.005626145284622908,0.01702338270843029,0.11959627270698547,0.015651676803827286,0.022316690534353256,0.020101943984627724,0.07165331393480301,0.0071806954219937325,0.014351077377796173,0.03507016599178314,0.012511782348155975,0.01382356882095337,0.08876097947359085,0.028218580409884453,0.009011576883494854,0.00903718639165163,0.005531920585781336,0.01323657389730215,0.015277508646249771,0.00496132904663682,0.013770082965493202,0.013494987040758133,0.01252624113112688,0.021682068705558777,0.009046908468008041,0.013847662135958672,0.027850588783621788,0.015780523419380188,0.004990680143237114,0.008164280094206333,0.008439374156296253,0.006509615574032068,0.03068418800830841,0.007323989644646645,0.005527888890355825,0.004959323909133673,0.008828056044876575,0.007578748278319836,0.008914834819734097,0.013506151735782623,0.008032657206058502,0.015743283554911613
B000574,0.009552333503961563,0.004634466953575611,0.009902303107082844,0.013714573346078396,0.012810609303414822,0.006576016079634428,0.04820503294467926,0.009937746450304985,0.017465757206082344,0.014631776139140129,0.025242023169994354,0.006393976975232363,0.02978745475411415,0.016427364200353622,0.05028725787997246,0.020550496876239777,0.055848751217126846,0.02262742631137371,0.1007520779967308,0.023319724947214127,0.012948879040777683,0.012108519673347473,0.005744030699133873,0.005489382427185774,0.030615665018558502,0.0064271120354533195,0.008480124175548553,0.07756846398115158,0.016669506207108498,0.03148147091269493,0.027491707354784012,0.005937032401561737,0.006014589220285416,0.008219157345592976,0.02735450305044651,0.022553715854883194,0.063514843583107,0.004994603339582682,0.005532757379114628,0.00950833410024643,0.014541065320372581,0.00469517707824707,0.011649182997643948,0.028800826519727707,0.009558859281241894,0.004287563730031252,0.0056648473255336285,0.009976563975214958,0.0054078297689557076,0.018096430227160454
B000755,0.006484974175691605,0.008256809785962105,0.010303865186870098,0.008723270148038864,0.014248006045818329,0.006986632943153381,0.020301250740885735,0.006848420016467571,0.02536502107977867,0.028877105563879013,0.007432029582560062,0.008508044295012951,0.02373504266142845,0.08051076531410217,0.028664909303188324,0.008083868771791458,0.006044409237802029,0.016435040161013603,0.10802815854549408,0.010669001378118992,0.02286040037870407,0.1803843230009079,0.009248116053640842,0.009559208527207375,0.017502527683973312,0.008657201193273067,0.011109898798167706,0.00559424189850688,0.007361195515841246,0.0063913799822330475,0.010257638059556484,0.00945369154214859,0.009296915493905544,0.026567447930574417,0.044091179966926575,0.00986624974757433,0.04196888208389282,0.008449370972812176,0.009086791425943375,0.00728191900998354,0.0077361296862363815,0.017211852595210075,0.006688914727419615,0.007054295856505632,0.009985210373997688,0.012888755649328232,0.009537716396152973,0.021920684725046158,0.009019723162055016,0.008461397141218185
B001227,0.003979301080107689,0.005039800424128771,0.005447492469102144,0.005585573613643646,0.003409817349165678,0.004485296551138163,0.09976384788751602,0.003685758216306567,0.0038790765684098005,0.004822091199457645,0.004531396087259054,0.005225101485848427,0.004524669144302607,0.0500083826482296,0.004138709045946598,0.0053177326917648315,0.004046521615236998,0.298306405544281,0.00419148663058877,0.005403082352131605,0.00550933089107275,0.20088914036750793,0.007158329710364342,0.005782806780189276,0.0036865933798253536,0.004769735038280487,0.005717433989048004,0.004025617148727179,0.005259341560304165,0.029848285019397736,0.0038539066445082426,0.004646070301532745,0.0061702118255198,0.005605664569884539,0.005298315547406673,0.052589040249586105,0.004125372506678104,0.004841043148189783,0.007120014168322086,0.005459108855575323,0.004863510373979807,0.006086235400289297,0.004423168953508139,0.003509876551106572,0.006178049836307764,0.005496336612850428,0.005776727572083473,0.05376699939370155,0.005470004864037037,0.006282203830778599
B001243,0.0036884865257889032,0.003833503695204854,0.0030784932896494865,0.030964592471718788,0.003385630901902914,0.11611362546682358,0.027977176010608673,0.00987280998378992,0.015908051282167435,0.08575203269720078,0.01995215006172657,0.0040794359520077705,0.03160746395587921,0.030294490978121758,0.030683113262057304,0.0039111552760005,0.016561273485422134,0.004013592842966318,0.0031165070831775665,0.023653514683246613,0.004281369969248772,0.023763902485370636,0.004174993839114904,0.0045003402046859264,0.009142627939581871,0.0036673119757324457,0.051202673465013504,0.0026525238063186407,0.0033017154783010483,0.01892998442053795,0.0031939209438860416,0.003010236658155918,0.004239593632519245,0.07275860011577606,0.04584384337067604,0.013712363317608833,0.05034938454627991,0.0035660068970173597,0.004508819431066513,0.004142161458730698,0.003130541415885091,0.004484413657337427,0.015745436772704124,0.014749836176633835,0.004603829234838486,0.057990722358226776,0.00485377898439765,0.08011739701032639,0.004372132942080498,0.010562395676970482
B001248,0.008234933950006962,0.01712157018482685,0.012772555463016033,0.015957944095134735,0.012064562179148197,0.023607313632965088,0.015887921676039696,0.01852993108332157,0.011301974765956402,0.050228942185640335,0.009472670033574104,0.010986085049808025,0.04951859638094902,0.038633644580841064,0.014274734072387218,0.007592650596052408,0.00848858430981636,0.020193539559841156,0.015419567935168743,0.011974580585956573,0.013536381535232067,0.06927125155925751,0.009763605892658234,0.009696564637124538,0.07457635551691055,0.01215300802141428,0.022499697282910347,0.009696658700704575,0.010174095630645752,0.012643497437238693,0.009925982914865017,0.008997081778943539,0.009744299575686455,0.064630426466465,0.011251888237893581,0.007071021478623152,0.06960572302341461,0.011027506552636623,0.009355825372040272,0.010430257767438889,0.008379396982491016,0.05095791444182396,0.02194678597152233,0.012458350509405136,0.008935028687119484,0.01204537134617567,0.009547464549541473,0.028443675488233566,0.010697640478610992,0.008274668827652931
B001250,0.016294047236442566,0.012463223189115524,0.006529304198920727,0.009195894934237003,0.01055297814309597,0.014359584078192711,0.032445162534713745,0.01177823357284069,0.007904460653662682,0.07350901514291763,0.0059943487867712975,0.009114567190408707,0.006857301574200392,0.06342040002346039,0.006000077351927757,0.007816962897777557,0.08557731658220291,0.01627287268638611,0.005683087278157473,0.02195163629949093,0.04697684943675995,0.08517460525035858,0.009237438440322876,0.009033240377902985,0.007171877194195986,0.008117659948766232,0.019028162583708763,0.005267152097076178,0.016103524714708328,0.00815476756542921,0.0100760068744421,0.006337720435112715,0.009441915899515152,0.07695478200912476,0.00932152196764946,0.008043435402214527,0.005771181080490351,0.009078473784029484,0.008850988000631332,0.009160924702882767,0.009291545487940311,0.014918236061930656,0.006300687789916992,0.09607114642858505,0.01395079493522644,0.0075098550878465176,0.008981157094240189,0.03309725970029831,0.010953451506793499,0.007903040386736393
B001251,0.015631096437573433,0.006155771669000387,0.01598077453672886,0.01578536257147789,0.19675259292125702,0.004554393235594034,0.010547135956585407,0.014750098809599876,0.004462152719497681,0.02411748841404915,0.03475899621844292,0.0067801708355546,0.015935081988573074,0.009851374663412571,0.0042769028805196285,0.005861552432179451,0.004578643478453159,0.052620355039834976,0.014825304970145226,0.004866724833846092,0.007184566929936409,0.037258364260196686,0.00731814606115222,0.007687176112085581,0.05787533521652222,0.011328325606882572,0.006418999750167131,0.0038792879786342382,0.004798005800694227,0.017409883439540863,0.0342697910964489,0.028111422434449196,0.007317010313272476,0.024405131116509438,0.016750244423747063,0.015042630955576897,0.03614124655723572,0.017079303041100502,0.00707098888233304,0.02032744325697422,0.09385133534669876,0.0073415483348071575,0.0105022257193923,0.004023580811917782,0.01573989912867546,0.006203800439834595,0.007695541251450777,0.009809411130845547,0.007606127765029669,0.006461277138441801
B001257,0.06935784220695496,0.0034504912327975035,0.002696925774216652,0.00555843161419034,0.01799594610929489,0.0029801838099956512,0.013850674033164978,0.022882772609591484,0.01811901107430458,0.06279278546571732,0.012219570577144623,0.0036427523009479046,0.028129786252975464,0.04255940765142441,0.05854026973247528,0.003815222531557083,0.0037740145344287157,0.003955481573939323,0.002766950288787484,0.002837951760739088,0.004058689344674349,0.039272576570510864,0.0044859335757792,0.0039513292722404,0.1640605479478836,0.004119385965168476,0.01590430550277233,0.05089703947305679,0.008896454237401485,0.02913786843419075,0.00766597269102931,0.024658523499965668,0.00430199783295393,0.0654916986823082,0.02731015719473362,0.01254301331937313,0.06262965500354767,0.008542935363948345,0.0043374658562242985,0.0032653354573994875,0.011839836835861206,0.0042502786964178085,0.00280269468203187,0.0027298876084387302,0.0038964031264185905,0.0032945265993475914,0.004149166867136955,0.0315183624625206,0.004168609157204628,0.003892809385433793
B001269,0.0049721859395504,0.0071004899218678474,0.0058759343810379505,0.00610885675996542,0.010161207057535648,0.005641960073262453,0.0047166673466563225,0.03235957771539688,0.011525566689670086,0.1634596437215805,0.005854243412613869,0.013180454261600971,0.01576281525194645,0.0832604244351387,0.09757068008184433,0.006978691089898348,0.005354105960577726,0.007328361738473177,0.005028733983635902,0.005941611714661121,0.007571080233901739,0.016636813059449196,0.008528766222298145,0.008064751513302326,0.009861250407993793,0.006533965468406677,0.01544769387692213,0.005045813508331776,0.006546970922499895,0.012533487752079964,0.009559105150401592,0.014991356059908867,0.008893316611647606,0.16200973093509674,0.02575046569108963,0.016940023750066757,0.011731336824595928,0.007298357784748077,0.007907768711447716,0.025044327601790428,0.014958005398511887,0.007673240732401609,0.020146822556853294,0.004688895307481289,0.007922268472611904,0.006768179126083851,0.008279616013169289,0.016692565754055977,0.015371235087513924,0.012420536018908024
